id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,xmin,xmax,ymin,ymax,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max,extent_wkt
0:1:46,national_transformation_v2_0,ALstramr,0:1,,31,21,2,51.00000000,51.16666667,-113.50000000,-113.25000000,0.2017,0.2190,-3.4987,-3.4586,0.0030,0.1800,0.0020,0.0910,"POLYGON((-113.50000000 51.00000000,-113.50000000 51.16666667,-113.25000000 51.16666667,-113.25000000 51.00000000, -113.50000000 51.00000000))"
0:1:47,national_transformation_v2_0,ALswanhi,0:1,,41,21,2,54.66666667,54.83333333,-115.58333333,-115.25000000,0.1913,0.2131,-4.0978,-4.0366,0.0000,0.0320,0.0000,0.1080,"POLYGON((-115.58333333 54.66666667,-115.58333333 54.83333333,-115.25000000 54.83333333,-115.25000000 54.66666667, -115.58333333 54.66666667))"
0:1:48,national_transformation_v2_0,ALtaber,0:1,,31,21,2,49.75000000,49.91666667,-112.25000000,-112.00000000,0.0377,0.1053,-3.2843,-3.2094,0.0020,0.2820,0.0120,0.2950,"POLYGON((-112.25000000 49.75000000,-112.25000000 49.91666667,-112.00000000 49.91666667,-112.00000000 49.75000000, -112.25000000 49.75000000))"
0:1:49,national_transformation_v2_0,ALtrehil,0:1,,21,21,2,51.58333333,51.75000000,-113.33333333,-113.16666667,0.2029,0.2139,-3.4736,-3.4465,0.0040,0.0680,0.0020,0.0360,"POLYGON((-113.33333333 51.58333333,-113.33333333 51.75000000,-113.16666667 51.75000000,-113.16666667 51.58333333, -113.33333333 51.58333333))"
0:1:50,national_transformation_v2_0,ALvegvil,0:1,,31,21,2,53.41666667,53.58333333,-112.16666667,-111.91666667,0.2598,0.2761,-3.2982,-3.2474,0.0010,0.1270,0.0010,0.1810,"POLYGON((-112.16666667 53.41666667,-112.16666667 53.58333333,-111.91666667 53.58333333,-111.91666667 53.41666667, -112.16666667 53.41666667))"
0:1:51,national_transformation_v2_0,ALvermil,0:1,,31,21,2,53.25000000,53.41666667,-111.00000000,-110.75000000,0.2677,0.2849,-3.0080,-2.9593,0.0010,0.0210,0.0010,0.0540,"POLYGON((-111.00000000 53.25000000,-111.00000000 53.41666667,-110.75000000 53.41666667,-110.75000000 53.25000000, -111.00000000 53.25000000))"
0:1:52,national_transformation_v2_0,ALwanwgt,0:1,,31,21,2,52.75000000,52.91666667,-111.00000000,-110.75000000,0.2460,0.2636,-2.9736,-2.9241,0.0010,0.0850,0.0010,0.0820,"POLYGON((-111.00000000 52.75000000,-111.00000000 52.91666667,-110.75000000 52.91666667,-110.75000000 52.75000000, -111.00000000 52.75000000))"
0:1:53,national_transformation_v2_0,ALweslok,0:1,,41,21,2,54.08333333,54.25000000,-114.00000000,-113.66666667,0.2691,0.2827,-3.7324,-3.6835,0.0010,0.1710,0.0010,0.2960,"POLYGON((-114.00000000 54.08333333,-114.00000000 54.25000000,-113.66666667 54.25000000,-113.66666667 54.08333333, -114.00000000 54.08333333))"
0:1:54,national_transformation_v2_0,ALwetask,0:1,,31,21,2,52.83333333,53.00000000,-113.50000000,-113.25000000,0.2187,0.2307,-3.6109,-3.5674,0.0000,0.0720,0.0000,0.0900,"POLYGON((-113.50000000 52.83333333,-113.50000000 53.00000000,-113.25000000 53.00000000,-113.25000000 52.83333333, -113.50000000 52.83333333))"
0:1:55,national_transformation_v2_0,ALwhitec,0:1,,41,11,2,54.08333333,54.16666667,-115.83333333,-115.50000000,0.2186,0.2685,-4.0281,-3.9209,0.0100,0.5740,0.0030,0.6610,"POLYGON((-115.83333333 54.08333333,-115.83333333 54.16666667,-115.50000000 54.16666667,-115.50000000 54.08333333, -115.83333333 54.08333333))"
