nodeLatitude,nodeLongitude,geoidHeight
15,-64.5,-37.2295
15,-64.4833333,-37.2304
15,-64.4666667,-37.2324
15,-64.45,-37.2355
15,-64.4333333,-37.2394
15,-64.4166667,-37.244
15,-64.4,-37.2487
15,-64.3833333,-37.253
15,-64.3666667,-37.2561
15,-64.35,-37.2573
15,-64.3333333,-37.2562
15,-64.3166667,-37.2532
15,-64.3,-37.2485
15,-64.2833333,-37.2423
15,-64.2666667,-37.2345
15,-64.25,-37.2253
15,-64.2333333,-37.2146
15,-64.2166667,-37.2025
15,-64.2,-37.1893
15,-64.1833333,-37.1745
15,-64.1666667,-37.1573
15,-64.15,-37.1376
15,-64.1333333,-37.1148
15,-64.1166667,-37.0876
15,-64.1,-37.0585
15,-64.0833333,-37.026
15,-64.0666667,-36.9902
15,-64.05,-36.9515
15,-64.0333333,-36.9098
15,-64.0166667,-36.8657
15,-64,-36.8197
15.0166667,-69,-29.2978
15.0166667,-68.9833333,-29.336
15.0166667,-68.9666667,-29.3756
15.0166667,-68.95,-29.4166
15.0166667,-68.9333333,-29.4586
15.0166667,-68.9166667,-29.5013
15.0166667,-68.9,-29.5444
15.0166667,-68.8833333,-29.5876
15.0166667,-68.8666667,-29.6308
15.0166667,-68.85,-29.674
15.0166667,-68.8333333,-29.7161
15.0166667,-68.8166667,-29.7592
15.0166667,-68.8,-29.8025
15.0166667,-68.7833333,-29.8464
15.0166667,-68.7666667,-29.8911
15.0166667,-68.75,-29.9364
15.0166667,-68.7333333,-29.982
15.0166667,-68.7166667,-30.0276
15.0166667,-68.7,-30.0729
15.0166667,-68.6833333,-30.118
15.0166667,-68.6666667,-30.1633
15.0166667,-68.65,-30.2091
15.0166667,-68.6333333,-30.2556
15.0166667,-68.6166667,-30.303
15.0166667,-68.6,-30.3513
15.0166667,-68.5833333,-30.3994
15.0166667,-68.5666667,-30.4492
15.0166667,-68.55,-30.4991
15.0166667,-68.5333333,-30.5487
15.0166667,-68.5166667,-30.5975
15.0166667,-68.5,-30.6449
15.0166667,-68.4833333,-30.6912
15.0166667,-68.4666667,-30.7366
15.0166667,-68.45,-30.7813
15.0166667,-68.4333333,-30.826
15.0166667,-68.4166667,-30.8713
15.0166667,-68.4,-30.9176
15.0166667,-68.3833333,-30.9651
15.0166667,-68.3666667,-31.0138
15.0166667,-68.35,-31.063
15.0166667,-68.3333333,-31.1108
15.0166667,-68.3166667,-31.1583
15.0166667,-68.3,-31.2043
15.0166667,-68.2833333,-31.2485
15.0166667,-68.2666667,-31.2914
15.0166667,-68.25,-31.3335
15.0166667,-68.2333333,-31.3758
15.0166667,-68.2166667,-31.4191
15.0166667,-68.2,-31.4643
15.0166667,-68.1833333,-31.5108
15.0166667,-68.1666667,-31.5586
15.0166667,-68.15,-31.6067
15.0166667,-68.1333333,-31.6538
15.0166667,-68.1166667,-31.6995
15.0166667,-68.1,-31.7433
15.0166667,-68.0833333,-31.7854
15.0166667,-68.0666667,-31.8251
15.0166667,-68.05,-31.8652
15.0166667,-68.0333333,-31.9052
15.0166667,-68.0166667,-31.9459
15.0166667,-68,-31.9877
15.0166667,-67.9833333,-32.0309
15.0166667,-67.9666667,-32.0755
15.0166667,-67.95,-32.1215
15.0166667,-67.9333333,-32.1684
15.0166667,-67.9166667,-32.2159
15.0166667,-67.9,-32.2637
15.0166667,-67.8833333,-32.3113
15.0166667,-67.8666667,-32.359
15.0166667,-67.85,-32.4063
15.0166667,-67.8333333,-32.4536
15.0166667,-67.8166667,-32.501
15.0166667,-67.8,-32.548
15.0166667,-67.7833333,-32.597
15.0166667,-67.7666667,-32.6475
15.0166667,-67.75,-32.6994
15.0166667,-67.7333333,-32.7531
15.0166667,-67.7166667,-32.8075
15.0166667,-67.7,-32.8629
15.0166667,-67.6833333,-32.9186
15.0166667,-67.6666667,-32.9742
15.0166667,-67.65,-33.0301
15.0166667,-67.6333333,-33.0859
15.0166667,-67.6166667,-33.1413
15.0166667,-67.6,-33.1959
15.0166667,-67.5833333,-33.2489
15.0166667,-67.5666667,-33.3009
15.0166667,-67.55,-33.3519
15.0166667,-67.5333333,-33.4027
15.0166667,-67.5166667,-33.4534
15.0166667,-67.5,-33.5028
15.0166667,-67.4833333,-33.5526
15.0166667,-67.4666667,-33.6013
15.0166667,-67.45,-33.6482
15.0166667,-67.4333333,-33.6934
15.0166667,-67.4166667,-33.7366
15.0166667,-67.4,-33.7784
15.0166667,-67.3833333,-33.819
15.0166667,-67.3666667,-33.8586
15.0166667,-67.35,-33.8976
15.0166667,-67.3333333,-33.9364
15.0166667,-67.3166667,-33.9749
15.0166667,-67.3,-34.0129
15.0166667,-67.2833333,-34.0498
15.0166667,-67.2666667,-34.0848
15.0166667,-67.25,-34.1171
15.0166667,-67.2333333,-34.146
15.0166667,-67.2166667,-34.1716
15.0166667,-67.2,-34.1933
15.0166667,-67.1833333,-34.2136
15.0166667,-67.1666667,-34.232
15.0166667,-67.15,-34.2484
15.0166667,-67.1333333,-34.2636
15.0166667,-67.1166667,-34.2777
15.0166667,-67.1,-34.2913
15.0166667,-67.0833333,-34.3036
15.0166667,-67.0666667,-34.3146
15.0166667,-67.05,-34.3237
15.0166667,-67.0333333,-34.3308
15.0166667,-67.0166667,-34.3361
15.0166667,-67,-34.3399
15.0166667,-66.9833333,-34.3427
15.0166667,-66.9666667,-34.3449
15.0166667,-66.95,-34.3472
15.0166667,-66.9333333,-34.35
15.0166667,-66.9166667,-34.353
15.0166667,-66.9,-34.3559
15.0166667,-66.8833333,-34.3585
15.0166667,-66.8666667,-34.3596
15.0166667,-66.85,-34.361
15.0166667,-66.8333333,-34.3618
15.0166667,-66.8166667,-34.3622
15.0166667,-66.8,-34.3629
15.0166667,-66.7833333,-34.3644
15.0166667,-66.7666667,-34.3675
15.0166667,-66.75,-34.3728
15.0166667,-66.7333333,-34.3804
15.0166667,-66.7166667,-34.39
15.0166667,-66.7,-34.4005
15.0166667,-66.6833333,-34.4112
15.0166667,-66.6666667,-34.4217
15.0166667,-66.65,-34.4319
15.0166667,-66.6333333,-34.4421
15.0166667,-66.6166667,-34.4523
15.0166667,-66.6,-34.4631
15.0166667,-66.5833333,-34.4753
15.0166667,-66.5666667,-34.4891
15.0166667,-66.55,-34.5052
15.0166667,-66.5333333,-34.5235
15.0166667,-66.5166667,-34.5425
15.0166667,-66.5,-34.5635
15.0166667,-66.4833333,-34.585
15.0166667,-66.4666667,-34.6067
15.0166667,-66.45,-34.6285
15.0166667,-66.4333333,-34.6508
15.0166667,-66.4166667,-34.6737
15.0166667,-66.4,-34.6971
15.0166667,-66.3833333,-34.7204
15.0166667,-66.3666667,-34.7432
15.0166667,-66.35,-34.7652
15.0166667,-66.3333333,-34.7859
15.0166667,-66.3166667,-34.8058
15.0166667,-66.3,-34.8254
15.0166667,-66.2833333,-34.8452
15.0166667,-66.2666667,-34.866
15.0166667,-66.25,-34.8883
15.0166667,-66.2333333,-34.9123
15.0166667,-66.2166667,-34.9381
15.0166667,-66.2,-34.9654
15.0166667,-66.1833333,-34.9938
15.0166667,-66.1666667,-35.0224
15.0166667,-66.15,-35.0504
15.0166667,-66.1333333,-35.0763
15.0166667,-66.1166667,-35.1021
15.0166667,-66.1,-35.1272
15.0166667,-66.0833333,-35.1528
15.0166667,-66.0666667,-35.1799
15.0166667,-66.05,-35.2088
15.0166667,-66.0333333,-35.2396
15.0166667,-66.0166667,-35.2718
15.0166667,-66,-35.3047
15.0166667,-65.9833333,-35.3373
15.0166667,-65.9666667,-35.37
15.0166667,-65.95,-35.4023
15.0166667,-65.9333333,-35.4349
15.0166667,-65.9166667,-35.4681
15.0166667,-65.9,-35.5024
15.0166667,-65.8833333,-35.5383
15.0166667,-65.8666667,-35.5761
15.0166667,-65.85,-35.6162
15.0166667,-65.8333333,-35.6587
15.0166667,-65.8166667,-35.704
