lat,lon,de,dn,du
62.25,-140.0,-0.01732,-0.00959,0.0
62.5,-140.0,-0.01773,-0.00962,0.0
62.75,-140.0,-0.01805,-0.00963,0.0
63.0,-140.0,-0.01843,-0.00966,0.0
63.25,-140.0,-0.01812,-0.00955,0.0
63.5,-140.0,-0.01794,-0.00946,0.0
63.75,-140.0,-0.01946,-0.01215,0.0
64.0,-140.0,-0.01929,-0.01215,0.0
54.0,-139.75,0.03281,-0.03023,0.0
54.25,-139.75,0.03289,-0.02992,0.0
54.5,-139.75,0.03298,-0.02962,0.0
54.75,-139.75,0.03308,-0.02929,0.0
55.0,-139.75,0.03318,-0.02897,0.0
55.25,-139.75,0.03327,-0.02867,0.0
55.5,-139.75,0.03336,-0.02837,0.0
55.75,-139.75,0.03346,-0.02807,0.0
56.0,-139.75,0.03355,-0.02778,0.0
56.25,-139.75,0.03346,-0.0276,0.0
56.5,-139.75,0.03336,-0.02744,0.0
56.75,-139.75,0.03326,-0.02731,0.0
57.0,-139.75,0.03315,-0.02723,0.0
57.25,-139.75,0.03266,-0.02727,0.0
57.5,-139.75,0.03213,-0.02739,0.0
57.75,-139.75,0.03157,-0.02761,0.0
58.0,-139.75,0.03083,-0.02812,0.0
58.25,-139.75,0.03099,-0.02743,0.0
58.5,-139.75,0.028,-0.03353,0.0
58.75,-139.75,0.02696,-0.03392,0.0
59.0,-139.75,0.02611,-0.03407,0.0
59.25,-139.75,0.02585,-0.03358,0.0
59.5,-139.75,0.0253,-0.03308,0.0
59.75,-139.75,0.02509,-0.03271,0.0
60.0,-139.75,0.0237,-0.03039,0.0
60.25,-139.75,0.00402,-0.01385,0.0
60.5,-139.75,-0.00571,-0.01065,0.0
60.75,-139.75,-0.00877,-0.01003,0.0
61.0,-139.75,-0.01023,-0.00939,0.0
61.25,-139.75,-0.01181,-0.00915,0.0
61.5,-139.75,-0.0137,-0.00925,0.0
61.75,-139.75,-0.01562,-0.0096,0.0
62.0,-139.75,-0.01677,-0.00968,0.0
62.25,-139.75,-0.01731,-0.00972,0.0
62.5,-139.75,-0.0177,-0.00974,0.0
62.75,-139.75,-0.01801,-0.00975,0.0
63.0,-139.75,-0.01823,-0.00974,0.0
63.25,-139.75,-0.0181,-0.00966,0.0
63.5,-139.75,-0.01791,-0.00957,0.0
63.75,-139.75,-0.01938,-0.01224,0.0
64.0,-139.75,-0.0192,-0.01223,0.0
54.0,-139.5,0.03276,-0.03013,0.0
54.25,-139.5,0.03283,-0.02983,0.0
54.5,-139.5,0.03293,-0.02952,0.0
54.75,-139.5,0.03304,-0.02921,0.0
55.0,-139.5,0.03313,-0.02888,0.0
55.25,-139.5,0.03321,-0.02859,0.0
55.5,-139.5,0.03329,-0.02829,0.0
55.75,-139.5,0.03337,-0.02799,0.0
56.0,-139.5,0.03342,-0.02771,0.0
56.25,-139.5,0.03332,-0.02753,0.0
56.5,-139.5,0.03319,-0.02738,0.0
56.75,-139.5,0.03304,-0.02728,0.0
57.0,-139.5,0.03283,-0.02723,0.0
57.25,-139.5,0.03233,-0.02729,0.0
57.5,-139.5,0.03177,-0.02743,0.0
57.75,-139.5,0.03114,-0.02772,0.0
58.0,-139.5,0.03025,-0.02836,0.0
58.25,-139.5,0.02817,-0.03306,0.0
58.5,-139.5,0.02745,-0.03369,0.0
58.75,-139.5,0.02648,-0.03397,0.0
59.0,-139.5,0.0257,-0.03404,0.0
59.25,-139.5,0.02521,-0.03363,0.0
59.5,-139.5,0.02446,-0.03326,0.0
59.75,-139.5,0.02309,-0.03306,0.0
60.0,-139.5,0.01862,-0.0303,0.0
60.25,-139.5,-0.00334,-0.01225,0.0
60.5,-139.5,-0.0074,-0.01021,0.0
60.75,-139.5,-0.00905,-0.00953,0.0
61.0,-139.5,-0.0103,-0.00924,0.0
61.25,-139.5,-0.01192,-0.0092,0.0
61.5,-139.5,-0.01386,-0.00938,0.0
61.75,-139.5,-0.01569,-0.00972,0.0
62.0,-139.5,-0.01676,-0.00983,0.0
62.25,-139.5,-0.01732,-0.00986,0.0
62.5,-139.5,-0.01768,-0.00987,0.0
62.75,-139.5,-0.01798,-0.00987,0.0
63.0,-139.5,-0.01815,-0.00985,0.0
63.25,-139.5,-0.01805,-0.00976,0.0
63.5,-139.5,-0.01786,-0.00966,0.0
63.75,-139.5,-0.0193,-0.01235,0.0
64.0,-139.5,-0.01911,-0.01232,0.0
54.0,-139.25,0.0327,-0.03003,0.0
54.25,-139.25,0.03278,-0.02973,0.0
