nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
63.25,-161.0,-0.02185,-0.00338,0.0
63.5,-161.0,-0.02184,-0.00355,0.0
63.75,-161.0,-0.02183,-0.00372,0.0
64.0,-161.0,-0.02181,-0.0039,0.0
64.25,-161.0,-0.02177,-0.00404,0.0
64.5,-161.0,-0.02172,-0.00418,0.0
64.75,-161.0,-0.02167,-0.00432,0.0
65.0,-161.0,-0.02162,-0.00446,0.0
65.25,-161.0,-0.02156,-0.00456,0.0
65.5,-161.0,-0.02151,-0.00467,0.0
65.75,-161.0,-0.02145,-0.00477,0.0
53.25,-160.75,-0.01928,-0.0047,0.0
53.5,-160.75,-0.01792,-0.00494,0.0
53.75,-160.75,-0.01653,-0.00554,0.0
54.0,-160.75,-0.01744,-0.01301,0.0
54.25,-160.75,-0.01685,-0.0136,0.0
54.5,-160.75,-0.01687,-0.01406,0.0
54.75,-160.75,-0.01726,-0.01428,0.0
55.0,-160.75,-0.01735,-0.01424,0.0
55.25,-160.75,-0.01734,-0.01388,0.0
55.5,-160.75,-0.01804,-0.01337,0.0
55.75,-160.75,-0.01817,-0.01278,0.0
56.0,-160.75,-0.01813,-0.01236,0.0
56.25,-160.75,-0.02117,-0.00773,0.0
56.5,-160.75,-0.02138,-0.00755,0.0
56.75,-160.75,-0.02158,-0.00737,0.0
57.0,-160.75,-0.02177,-0.00717,0.0
57.25,-160.75,-0.02203,-0.00688,0.0
57.5,-160.75,-0.02227,-0.00656,0.0
57.75,-160.75,-0.02251,-0.00621,0.0
58.0,-160.75,-0.02275,-0.00583,0.0
58.25,-160.75,-0.02304,-0.00549,0.0
58.5,-160.75,-0.02333,-0.00513,0.0
58.75,-160.75,-0.02362,-0.00478,0.0
59.0,-160.75,-0.02391,-0.00442,0.0
59.25,-160.75,-0.02422,-0.00418,0.0
59.5,-160.75,-0.02452,-0.00395,0.0
59.75,-160.75,-0.02481,-0.00374,0.0
60.0,-160.75,-0.0251,-0.00353,0.0
60.25,-160.75,-0.02534,-0.00346,0.0
60.5,-160.75,-0.02558,-0.0034,0.0
60.75,-160.75,-0.0258,-0.00335,0.0
61.0,-160.75,-0.02601,-0.00331,0.0
61.25,-160.75,-0.02617,-0.00337,0.0
61.5,-160.75,-0.02631,-0.00344,0.0
61.75,-160.75,-0.02645,-0.00351,0.0
62.0,-160.75,-0.02658,-0.00359,0.0
62.25,-160.75,-0.02174,-0.00271,0.0
62.5,-160.75,-0.0218,-0.00288,0.0
62.75,-160.75,-0.02185,-0.00305,0.0
63.0,-160.75,-0.0219,-0.00323,0.0
63.25,-160.75,-0.02189,-0.00341,0.0
63.5,-160.75,-0.02188,-0.00359,0.0
63.75,-160.75,-0.02186,-0.00377,0.0
64.0,-160.75,-0.02184,-0.00396,0.0
64.25,-160.75,-0.02179,-0.0041,0.0
64.5,-160.75,-0.02174,-0.00425,0.0
64.75,-160.75,-0.02169,-0.00439,0.0
65.0,-160.75,-0.02163,-0.00454,0.0
65.25,-160.75,-0.02158,-0.00464,0.0
65.5,-160.75,-0.02152,-0.00475,0.0
65.75,-160.75,-0.02146,-0.00485,0.0
53.25,-160.5,-0.01911,-0.00486,0.0
53.5,-160.5,-0.01746,-0.00515,0.0
53.75,-160.5,-0.01563,-0.00586,0.0
54.0,-160.5,-0.0163,-0.01345,0.0
54.25,-160.5,-0.01563,-0.01409,0.0
54.5,-160.5,-0.01569,-0.0145,0.0
54.75,-160.5,-0.01623,-0.01456,0.0
55.0,-160.5,-0.01652,-0.0144,0.0
55.25,-160.5,-0.01653,-0.01414,0.0
55.5,-160.5,-0.01732,-0.01357,0.0
55.75,-160.5,-0.01772,-0.01278,0.0
56.0,-160.5,-0.01774,-0.01235,0.0
56.25,-160.5,-0.01787,-0.01207,0.0
56.5,-160.5,-0.02089,-0.00766,0.0
56.75,-160.5,-0.0211,-0.00752,0.0
57.0,-160.5,-0.02132,-0.00733,0.0
57.25,-160.5,-0.02162,-0.00702,0.0
57.5,-160.5,-0.02191,-0.00668,0.0
57.75,-160.5,-0.02219,-0.0063,0.0
58.0,-160.5,-0.02247,-0.00589,0.0
58.25,-160.5,-0.0228,-0.00552,0.0
58.5,-160.5,-0.02313,-0.00515,0.0
58.75,-160.5,-0.02347,-0.00476,0.0
59.0,-160.5,-0.0238,-0.00438,0.0
59.25,-160.5,-0.02413,-0.00414,0.0
59.5,-160.5,-0.02446,-0.0039,0.0
59.75,-160.5,-0.02478,-0.00368,0.0
60.0,-160.5,-0.02509,-0.00347,0.0
60.25,-160.5,-0.02535,-0.0034,0.0
60.5,-160.5,-0.0256,-0.00335,0.0
60.75,-160.5,-0.02583,-0.0033,0.0
61.0,-160.5,-0.02606,-0.00326,0.0
61.25,-160.5,-0.02622,-0.00333,0.0
61.5,-160.5,-0.02637,-0.00341,0.0
61.75,-160.5,-0.02651,-0.0035,0.0
62.0,-160.5,-0.02664,-0.00359,0.0
62.25,-160.5,-0.0218,-0.0027,0.0
62.5,-160.5,-0.02185,-0.00288,0.0
62.75,-160.5,-0.0219,-0.00306,0.0
63.0,-160.5,-0.02195,-0.00325,0.0
63.25,-160.5,-0.02193,-0.00344,0.0
63.5,-160.5,-0.02192,-0.00363,0.0
63.75,-160.5,-0.0219,-0.00382,0.0
64.0,-160.5,-0.02187,-0.00402,0.0
64.25,-160.5,-0.02182,-0.00417,0.0
64.5,-160.5,-0.02176,-0.00432,0.0
64.75,-160.5,-0.02171,-0.00446,0.0
65.0,-160.5,-0.02165,-0.00462,0.0
65.25,-160.5,-0.02159,-0.00472,0.0
65.5,-160.5,-0.02152,-0.00483,0.0
65.75,-160.5,-0.02146,-0.00494,0.0
53.25,-160.25,-0.01904,-0.00491,0.0
53.5,-160.25,-0.01704,-0.00542,0.0
53.75,-160.25,-0.01477,-0.00624,0.0
54.0,-160.25,-0.01529,-0.01392,0.0
54.25,-160.25,-0.01458,-0.01454,0.0
54.5,-160.25,-0.01466,-0.01484,0.0
54.75,-160.25,-0.01522,-0.0148,0.0
55.0,-160.25,-0.0157,-0.01456,0.0
55.25,-160.25,-0.01583,-0.01436,0.0
55.5,-160.25,-0.01658,-0.01384,0.0
55.75,-160.25,-0.01729,-0.01289,0.0
56.0,-160.25,-0.01745,-0.0124,0.0
56.25,-160.25,-0.01749,-0.01214,0.0
56.5,-160.25,-0.02042,-0.00778,0.0
56.75,-160.25,-0.02062,-0.00765,0.0
57.0,-160.25,-0.02086,-0.00747,0.0
57.25,-160.25,-0.0212,-0.00716,0.0
57.5,-160.25,-0.02153,-0.0068,0.0
57.75,-160.25,-0.02186,-0.00639,0.0
58.0,-160.25,-0.02218,-0.00595,0.0
58.25,-160.25,-0.02255,-0.00556,0.0
58.5,-160.25,-0.02293,-0.00515,0.0
58.75,-160.25,-0.0233,-0.00475,0.0
59.0,-160.25,-0.02367,-0.00435,0.0
59.25,-160.25,-0.02404,-0.00409,0.0
59.5,-160.25,-0.0244,-0.00384,0.0
59.75,-160.25,-0.02475,-0.00362,0.0
60.0,-160.25,-0.02508,-0.00341,0.0
60.25,-160.25,-0.02536,-0.00334,0.0
60.5,-160.25,-0.02562,-0.00328,0.0
60.75,-160.25,-0.02587,-0.00324,0.0
61.0,-160.25,-0.0261,-0.00321,0.0
61.25,-160.25,-0.02627,-0.00329,0.0
61.5,-160.25,-0.02643,-0.00338,0.0
61.75,-160.25,-0.02657,-0.00348,0.0
62.0,-160.25,-0.0267,-0.00358,0.0
62.25,-160.25,-0.02185,-0.00268,0.0
62.5,-160.25,-0.02191,-0.00287,0.0
62.75,-160.25,-0.02195,-0.00307,0.0
63.0,-160.25,-0.022,-0.00327,0.0
63.25,-160.25,-0.02198,-0.00347,0.0
63.5,-160.25,-0.02196,-0.00367,0.0
63.75,-160.25,-0.02193,-0.00387,0.0
64.0,-160.25,-0.0219,-0.00407,0.0
64.25,-160.25,-0.02184,-0.00423,0.0
64.5,-160.25,-0.02178,-0.00438,0.0
64.75,-160.25,-0.02172,-0.00454,0.0
65.0,-160.25,-0.02166,-0.00469,0.0
65.25,-160.25,-0.0216,-0.0048,0.0
65.5,-160.25,-0.02153,-0.00491,0.0
65.75,-160.25,-0.02146,-0.00502,0.0
53.25,-160.0,-0.01896,-0.00507,0.0
53.5,-160.0,-0.01673,-0.00569,0.0
