group,grid,ngridi,ngridj,type,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
National Transformation v2_0,BCpentic,21,21,float32,"POLYGON((-119.66666666666667 49.416666666666664,-119.66666666666667 49.58333333333333,-119.5 49.58333333333333,-119.5 49.416666666666664, -119.66666666666667 49.416666666666664))",-0.4602,-0.4122,4.2953,4.3617,0.0010,0.6510,0.0010,0.4800
National Transformation v2_0,BCportal,11,21,float32,"POLYGON((-124.83333333333334 49.166666666666664,-124.83333333333334 49.33333333333333,-124.75000000000001 49.33333333333333,-124.75000000000001 49.166666666666664, -124.83333333333334 49.166666666666664))",-0.6866,-0.6719,5.0184,5.0627,0.0010,0.4690,0.0010,0.4500
National Transformation v2_0,BCpowell,21,21,float32,"POLYGON((-124.58333333333334 49.75,-124.58333333333334 49.916666666666664,-124.41666666666667 49.916666666666664,-124.41666666666667 49.75, -124.58333333333334 49.75))",-0.6965,-0.5722,5.0463,5.0955,0.0020,1.2640,0.0010,0.2130
National Transformation v2_0,BCprigeo,41,41,float32,"POLYGON((-122.91666666666667 53.74999999999999,-122.91666666666667 54.08333333333333,-122.58333333333334 54.08333333333333,-122.58333333333334 53.74999999999999, -122.91666666666667 53.74999999999999))",-0.2044,-0.1524,5.2200,5.4721,0.0010,0.8170,0.0010,2.7480
National Transformation v2_0,BCroslnd,11,11,float32,"POLYGON((-117.83333333333334 48.99999999999999,-117.83333333333334 49.08333333333333,-117.75000000000001 49.08333333333333,-117.75000000000001 48.99999999999999, -117.83333333333334 48.99999999999999))",-0.3196,-0.3039,4.0114,4.0322,0.0040,0.3600,0.0020,0.1710
National Transformation v2_0,BCtrail,11,11,float32,"POLYGON((-117.75 49.08333333333333,-117.75 49.166666666666664,-117.66666666666667 49.166666666666664,-117.66666666666667 49.08333333333333, -117.75 49.08333333333333))",-0.3070,-0.2927,4.0021,4.0294,0.0110,0.1660,0.0080,0.0880
National Transformation v2_0,BCtumblr,21,11,float32,"POLYGON((-121.08333333333334 55.08333333333333,-121.08333333333334 55.166666666666664,-120.91666666666667 55.166666666666664,-120.91666666666667 55.08333333333333, -121.08333333333334 55.08333333333333))",-0.2368,-0.2255,5.1613,5.2049,0.0030,0.0530,0.0030,0.1400
National Transformation v2_0,BCvancvr,131,51,float32,"POLYGON((-123.25 49.0,-123.25 49.416666666666664,-122.16666666666667 49.416666666666664,-122.16666666666667 49.0, -123.25 49.0))",-0.6294,-0.5655,4.6076,4.7910,0.0010,0.4690,0.0000,0.5170
National Transformation v2_0,BCvernon,21,21,float32,"POLYGON((-119.33333333333334 50.166666666666664,-119.33333333333334 50.33333333333333,-119.16666666666667 50.33333333333333,-119.16666666666667 50.166666666666664, -119.33333333333334 50.166666666666664))",-0.3956,-0.3731,4.2218,4.2597,0.0010,0.4290,0.0010,0.2750
National Transformation v2_0,BCvictor,41,51,float32,"POLYGON((-123.58333333333334 48.333333333333336,-123.58333333333334 48.75,-123.25000000000001 48.75,-123.25000000000001 48.333333333333336, -123.58333333333334 48.333333333333336))",-0.6706,-0.6346,4.6513,4.7646,0.0000,0.1740,0.0000,0.2130
