nodeLatitude,nodeLongitude,velocityEast,velocityNorth,velocityUp
59.5,-145.5,0.01967,-0.02554,0.0
59.75,-145.5,0.01688,-0.02519,0.0
60.0,-145.5,0.01461,-0.02474,0.0
60.25,-145.5,0.01333,-0.02424,0.0
60.5,-145.5,0.01122,-0.02184,0.0
60.75,-145.5,0.01387,-0.02547,0.0
61.0,-145.5,0.01109,-0.02453,0.0
61.25,-145.5,0.00468,-0.02198,0.0
61.5,-145.5,-0.00144,-0.01865,0.0
61.75,-145.5,-0.0066,-0.01587,0.0
62.0,-145.5,-0.0107,-0.01427,0.0
62.25,-145.5,-0.01596,-0.01422,0.0
62.5,-145.5,-0.0267,-0.01346,0.0
62.75,-145.5,-0.0182,-0.01413,0.0
63.0,-145.5,-0.01871,-0.01298,0.0
56.5,-145.25,0.03798,-0.0307,0.0
56.75,-145.25,0.03558,-0.03005,0.0
57.0,-145.25,0.03353,-0.02946,0.0
57.25,-145.25,0.03301,-0.0291,0.0
57.5,-145.25,0.03283,-0.02879,0.0
57.75,-145.25,0.03274,-0.02851,0.0
58.0,-145.25,0.03254,-0.02821,0.0
58.25,-145.25,0.03176,-0.02781,0.0
58.5,-145.25,0.03095,-0.0274,0.0
58.75,-145.25,0.03021,-0.02703,0.0
59.0,-145.25,0.02932,-0.02673,0.0
59.25,-145.25,0.02452,-0.02618,0.0
59.5,-145.25,0.02029,-0.02575,0.0
59.75,-145.25,0.01687,-0.02532,0.0
60.0,-145.25,0.01435,-0.02483,0.0
60.25,-145.25,0.01369,-0.02452,0.0
60.5,-145.25,0.01353,-0.02454,0.0
60.75,-145.25,0.0146,-0.02662,0.0
61.0,-145.25,0.01397,-0.02616,0.0
61.25,-145.25,0.00541,-0.02202,0.0
61.5,-145.25,-0.00144,-0.01845,0.0
61.75,-145.25,-0.0069,-0.01535,0.0
62.0,-145.25,-0.01102,-0.01361,0.0
62.25,-145.25,-0.01574,-0.01406,0.0
62.5,-145.25,-0.02059,-0.01399,0.0
62.75,-145.25,-0.01826,-0.01409,0.0
63.0,-145.25,-0.01875,-0.01318,0.0
56.5,-145.0,0.03794,-0.03058,0.0
56.75,-145.0,0.03554,-0.02994,0.0
57.0,-145.0,0.03284,-0.02924,0.0
57.25,-145.0,0.03298,-0.02899,0.0
57.5,-145.0,0.03282,-0.02869,0.0
57.75,-145.0,0.03273,-0.02841,0.0
58.0,-145.0,0.03281,-0.02817,0.0
58.25,-145.0,0.03191,-0.02777,0.0
58.5,-145.0,0.03128,-0.02741,0.0
58.75,-145.0,0.03083,-0.02708,0.0
59.0,-145.0,0.0328,-0.02708,0.0
59.25,-145.0,0.02535,-0.02636,0.0
59.5,-145.0,0.0208,-0.02597,0.0
59.75,-145.0,0.01683,-0.02551,0.0
60.0,-145.0,0.0138,-0.02493,0.0
60.25,-145.0,0.01403,-0.02486,0.0
60.5,-145.0,0.01506,-0.02631,0.0
60.75,-145.0,0.01475,-0.02735,0.0
61.0,-145.0,0.01334,-0.02622,0.0
61.25,-145.0,0.00595,-0.02197,0.0
61.5,-145.0,-0.00161,-0.01819,0.0
61.75,-145.0,-0.00728,-0.0152,0.0
62.0,-145.0,-0.01119,-0.01384,0.0
62.25,-145.0,-0.01521,-0.01411,0.0
62.5,-145.0,-0.01834,-0.01417,0.0
62.75,-145.0,-0.01814,-0.01416,0.0
63.0,-145.0,-0.0192,-0.01358,0.0
56.5,-144.75,0.03791,-0.03047,0.0
56.75,-144.75,0.03551,-0.02983,0.0
57.0,-144.75,0.03346,-0.02924,0.0
